"","SampleName","Basename","Name","Status"
"1","GSM1958869","GSM1958869_9647455116_R01C01","R0012T","Cancer"
"2","GSM1958870","GSM1958870_9647455116_R02C01","R0012P","Normal"
"3","GSM1958871","GSM1958871_9647455116_R03C01","R0004T","Cancer"
"4","GSM1958872","GSM1958872_9647455116_R04C01","R0004P","Normal"
"5","GSM1958873","GSM1958873_9647455116_R05C01","R0008T","Cancer"
"6","GSM1958874","GSM1958874_9647455116_R06C01","R0008P","Normal"
"7","GSM1958875","GSM1958875_9647455116_R01C02","R0006T","Cancer"
"8","GSM1958876","GSM1958876_9647455116_R02C02","R0006P","Normal"
"9","GSM1958877","GSM1958877_9647455116_R03C02","R0007T","Cancer"
"10","GSM1958878","GSM1958878_9647455116_R04C02","R0007P","Normal"
"11","GSM1958879","GSM1958879_9647455116_R05C02","C0028T","Cancer"
"12","GSM1958880","GSM1958880_9647455116_R06C02","C0028P","Normal"
